"catch-difficulty","catch-phrase","color-1","color-2","creature-type","critterpedia-filename","critterpedia-image","description","furniture-filename","furniture-image","hha-base-points","hha-category","icon-filename","icon-image","id","lighting-type","movement-speed","name","nh-apr","nh-aug","nh-dec","nh-feb","nh-jan","nh-jul","nh-jun","nh-mar","nh-may","nh-nov","nh-oct","nh-sep","sell","sh-apr","sh-aug","sh-dec","sh-feb","sh-jan","sh-jul","sh-jun","sh-mar","sh-may","sh-nov","sh-oct","sh-sep","shadow","size","spawn-rates","surface","total-catches-to-unlock","vision","weather","where-how"
"Easy","I caught a pale chub! That name seems a bit judgy...","Blue","Blue","Fish","FishOikawa","https://acnhcdn.com/latest/BookFishIcon/FishOikawaCropped.png","The pale chub is a river fish with simple back-and-silver coloring. Interestingly, the males' coloring becomes most vibrant when he's trying to attract a mate! Though normally plain, these fellows really know how to look stylish when they want to. Perhaps I could learn a thing or two from the pale chub...","FtrFishOikawa","https://acnhcdn.com/latest/FtrIcon/FtrFishOikawa.png",71,"Pet","Fish1","https://acnhcdn.com/latest/MenuIcon/Fish1.png","F2","No lighting",NA,"pale chub","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",200,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","X-Small","1x1","6–9","No",0,"Wide","Any weather","River"
"Very Easy","I caught a bluegill! Do you think it calls me ""pinklung""?","Blue","Black","Fish","FishBlueguill","https://acnhcdn.com/latest/BookFishIcon/FishBlueguillCropped.png","The bluegill is incredibly common. A bit too common, depending upon where you are. They eat anything that fits in their mouths and are highly adaptable. The bane of fishermen in some areas, bluegill is often the only fish to be caught! But looking in its wee beady eyes, I must say I see no ill will in it...","FtrFishBlueguill","https://acnhcdn.com/latest/FtrIcon/FtrFishBlueguill.png",71,"Pet","Fish17","https://acnhcdn.com/latest/MenuIcon/Fish17.png","F20","No lighting",NA,"bluegill","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",180,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","Small","1x1","6–10","No",0,"Very Wide","Any weather","River"
"Medium","I caught a yellow perch! Those yellow birds have to sit somewhere!","Yellow","Black","Fish","FishYellowparch","https://acnhcdn.com/latest/BookFishIcon/FishYellowparchCropped.png","The yellow perch is certainly worth squawking about. I find it a sight to behold! That jagged dorsal fin! Those brilliant stripes! Those glorious colours! Hoo, truly it is quite the specimen. I would be thrilled to witness it firsthand in its natural environment... But the yellow perch's peak season is winter, I'm afraid. (So very afraid... of winter's biting chill...)","FtrFishYellowparch","https://acnhcdn.com/latest/FtrIcon/FtrFishYellowparch.png",71,"Pet","Fish18","https://acnhcdn.com/latest/MenuIcon/Fish18.png","F21","Fluorescent",NA,"yellow perch",NA,NA,"All day","All day","All day",NA,NA,"All day",NA,"All day","All day",NA,300,"All day","All day",NA,NA,NA,"All day","All day",NA,"All day",NA,NA,"All day","Medium","1x1","7–10","Yes",0,"Narrow","Any weather","River"
"Medium","I caught a black bass! The most metal of all fish!","Green","Black","Fish","FishBlackbass","https://acnhcdn.com/latest/BookFishIcon/FishBlackbassCropped.png","The black bass is a formidably strong fish and, as such, is a common target for sport anglers. In some areas, there are even those who professionally catch just black bass! Yet in other areas where they are NOT native, they are considered an ecological nuisance. Invasive, even. One cannot help but wonder who is to blame for their invasion, hoo.","FtrFishBlackbass","https://acnhcdn.com/latest/FtrIcon/FtrFishBlackbass.png",71,"Pet","Fish19","https://acnhcdn.com/latest/MenuIcon/Fish19.png","F22","Fluorescent",NA,"black bass","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",400,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Large","1x1","4–12","Yes",0,"Medium","Any weather","River"
"Hard","I caught a tilapia! It makes me happy-a!","Black","Black","Fish","FishThirapia","https://acnhcdn.com/latest/BookFishIcon/FishThirapiaCropped.png","Wherever the waters are warm, the tilapia can be found. It is a highly adaptable river fish. They mainly feed on algae, but they will also eat larvae and dead fish— or whatever fits in their mouths. I will confess that, as a growing owlet, I similarly defined food as 'anything that fits in my beak.'","FtrFishThirapia","https://acnhcdn.com/latest/FtrIcon/FtrFishThirapia.png",71,"Pet","Fish76","https://acnhcdn.com/latest/MenuIcon/Fish76.png","F23","Fluorescent",NA,"tilapia",NA,"All day",NA,NA,NA,"All day","All day",NA,NA,NA,"All day","All day",800,"All day",NA,"All day","All day","All day",NA,NA,"All day",NA,NA,NA,NA,"Medium","1x1","7–9","Yes",0,"Medium","Any weather","River"
"Medium","I caught a pike! Think a swordfish would be up for a duel?","Green","Black","Fish","FishPaiku","https://acnhcdn.com/latest/BookFishIcon/FishPaikuCropped.png","The pike has always reminded me a bit of salmon, although a pike can grow rather larger. These brutes can grow to over four feet long, sometimes MUCH over! Hoo hoo! It is carnivorous and preys not only on other fish, but also mammals and some waterfowl. If I were to ever meet one in the water, I would have a most difficult time keeping my wits about me.","FtrFishPaiku","https://acnhcdn.com/latest/FtrIcon/FtrFishPaiku.png",71,"Pet","Fish20","https://acnhcdn.com/latest/MenuIcon/Fish20.png","F24","Fluorescent",NA,"pike",NA,NA,"All day",NA,NA,NA,NA,NA,NA,"All day","All day","All day",1800,"All day",NA,NA,NA,NA,NA,"All day","All day","All day",NA,NA,NA,"X-Large","2x1","1–2","Yes",20,"Medium","Any weather","River"
"Easy","I caught a pond smelt! Whoever smelt it dealt it!","Orange","Blue","Fish","FishWakasagi","https://acnhcdn.com/latest/BookFishIcon/FishWakasagiCropped.png","For many, thinking of pond smelt inevitably leads to thoughts of ice fishing in frozen rivers and lakes. Ice fishing involves making a round hole in the ice, dropping in your fishing line, and...waiting. Not to rain on anyone else's idea of fun, but...well, perhaps I shouldn't say anything.","FtrFishWakasagi","https://acnhcdn.com/latest/FtrIcon/FtrFishWakasagi.png",71,"Pet","Fish21","https://acnhcdn.com/latest/MenuIcon/Fish21.png","F25","No lighting",NA,"pond smelt",NA,NA,"All day","All day","All day",NA,NA,NA,NA,NA,NA,NA,400,NA,"All day",NA,NA,NA,"All day","All day",NA,NA,NA,NA,NA,"Small","1x1","18–20","No",0,"Wide","Any weather","River"
"Hard","I caught a sweetfish! Hope it's not artificially sweet!","Green","Black","Fish","FishAyu","https://acnhcdn.com/latest/BookFishIcon/FishAyuCropped.png","Sweetfish are the damp heralds of summer! These slippery fellows appear in numbers when it warms up. They hatch in a river, then swim to the ocean. Once mature, they return to the river where they were born. But when they return depends on the river temperature— if it's too cold their fishing season will start later. Some even say summer can't start without sweetfish despite the KEY role played by the earth's axial tilt!","FtrFishAyu","https://acnhcdn.com/latest/FtrIcon/FtrFishAyu.png",71,"Pet","Fish22","https://acnhcdn.com/latest/MenuIcon/Fish22.png","F26","Fluorescent",NA,"sweetfish",NA,"All day",NA,NA,NA,"All day",NA,NA,NA,NA,NA,"All day",900,NA,NA,NA,"All day","All day",NA,NA,"All day",NA,NA,NA,NA,"Medium","1x1","5–10","Yes",0,"Medium","Any weather","River"
"Medium","I caught a cherry salmon! It's the perfect topper for a marlin sundae!","Brown","Black","Fish","FishYamame","https://acnhcdn.com/latest/BookFishIcon/FishYamameCropped.png","The cherry salmon is related to the salmon, and is known for its distinctive pattern of ""polka dots"". There polka dots disappear as they mature, but ONLY in the first of certain geographic regions. Pity the poor researchers that must make sense of the cherry salmon's fickle fashion sense.","FtrFishYamame","https://acnhcdn.com/latest/FtrIcon/FtrFishYamame.png",71,"Pet","Fish23","https://acnhcdn.com/latest/MenuIcon/Fish23.png","F27","Fluorescent",NA,"cherry salmon","4 PM – 9 AM",NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","All day","All day","All day",1000,"All day",NA,"4 PM – 9 AM",NA,NA,NA,NA,"All day","All day","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Medium","1x1","3–9","Yes",0,"Narrow","Any weather","River (clifftop)"
"Hard","I caught a char! Now I'm gonna sit on it!","Brown","Black","Fish","FishOoiwana","https://acnhcdn.com/latest/BookFishIcon/FishOoiwanaCropped.png","The char is one of the bigger first around the world, and, in the world of fish, that's quite an accomplishment! They are territorial predators, and therefore must constantly defend their 'turf' from others. So when you see a large char like this one, it is likely a skilled fighter and veteran of many battles. My feathers! I hope it never has cause to go into battle with me!","FtrFishOoiwana","https://acnhcdn.com/latest/FtrIcon/FtrFishOoiwana.png",71,"Pet","Fish24","https://acnhcdn.com/latest/MenuIcon/Fish24.png","F28","Fluorescent",NA,"char","4 PM – 9 AM",NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","All day","All day","All day",3800,"All day",NA,"4 PM – 9 AM",NA,NA,NA,NA,"All day","All day","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Medium","1x1","1–4","Yes",20,"Narrow","Any weather","River (clifftop)"
"Very Hard","I caught a golden trout! But the real treasure? Friendship.","Brown","Black","Fish","FishGoldenTorauto","https://acnhcdn.com/latest/BookFishIcon/FishGoldenTorautoCropped.png","The golden trout is a beautifully colored fish that can only live in very clean waters. They are difficult to come across since they are found only in high mountain streams. As a side note, I find it much easier to appreciate fish that aren't such prima donnas about everything.","FtrFishGoldenTorauto","https://acnhcdn.com/latest/FtrIcon/FtrFishGoldenTorauto.png",71,"Pet","Fish79","https://acnhcdn.com/latest/MenuIcon/Fish79.png","F29","Fluorescent",NA,"golden trout","4 PM – 9 AM",NA,NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",15000,"4 PM – 9 AM",NA,NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Medium","1x1","1","Yes",100,"Very Narrow","Any weather","River (clifftop)"
"Very Easy","I caught a crucian carp! My skills are sharp!","Brown","Black","Fish","FishFuna","https://acnhcdn.com/latest/BookFishIcon/FishFunaCropped.png","I wonder... Do you know how to tell the difference between a crucian carp and a standard-issue carp? It's quite easy to tell the two apart... One must simply locate the barbels. Or, rather, the lack of them! And just what is a barbel, you ask? Well, a barbel looks a little something like a mustache. A run-of-the-mill carp will sport this unsightly ""facial hair,"" while a crucian carp is considerably better groomed! I tried to grow a mustache when I was younger. It never did fill in quite right... All for the best in the end, as mustaches go so much better with noses than with beaks!","FtrFishFuna","https://acnhcdn.com/latest/FtrIcon/FtrFishFuna.png",71,"Pet","Fish2","https://acnhcdn.com/latest/MenuIcon/Fish2.png","F3","Fluorescent",NA,"crucian carp","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",160,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Small","1x1","4–12","Yes",0,"Wide","Any weather","River"
"Very Hard","OH MY GOSH! I caught a stringfish! Five more and I'll have a guitarfish!","Brown","Black","Fish","FishItou","https://acnhcdn.com/latest/BookFishIcon/FishItouCropped.png","The stringfish grows slowly, but also lives quite a long time for a fish, with up to 15 years being typical. Consequently, while it takes a while, they can get quite large-perhaps even up to six feet long! The stringfish is perhaps the best embodiment in the fish world of 'slow and steady wins the race'","FtrFishItou","https://acnhcdn.com/latest/FtrIcon/FtrFishItou.png",71,"Pet","Fish26","https://acnhcdn.com/latest/MenuIcon/Fish26.png","F30","Fluorescent",NA,"stringfish",NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,NA,NA,NA,15000,NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,NA,NA,NA,"4 PM – 9 AM","X-Large","2x1","1","Yes",100,"Very Narrow","Any weather","River (clifftop)"
"Medium","I caught a salmon! It's all upstream from here!","Brown","Black","Fish","FishSake","https://acnhcdn.com/latest/BookFishIcon/FishSakeCropped.png","Ah, salmon! Did you know their coloration is due specifically to their diet? Indeed, this is the case! The more they fill their diet with crustaceans such as krill and shrimp, the deeper shade of pink they are. If they ate a bushel of carrots, might they turn orange?","FtrFishSake","https://acnhcdn.com/latest/FtrIcon/FtrFishSake.png",71,"Pet","Fish27","https://acnhcdn.com/latest/MenuIcon/Fish27.png","F31","Fluorescent",NA,"salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All day",700,NA,NA,NA,NA,NA,NA,NA,"All day",NA,NA,NA,NA,"Large","2x1","20","Yes",0,"Medium","Any weather","River (mouth)"
"Hard","WOO-HOO! I caught a King salmon! Checkmate!","Gray","Black","Fish","FishKingsalmon","https://acnhcdn.com/latest/BookFishIcon/FishKingsalmonCropped.png","The king salmon didn't get its name for nothing.This stately fish can weigh in at up to 130 pounds! It's clear why it's referred to as the king of salmon. I imagine even the mightiest net can catch no more than a few at a time.I must say it's a miracle to me that you didn't get dragged out to sea by this one, wot!","FtrFishKingsalmon","https://acnhcdn.com/latest/FtrIcon/FtrFishKingsalmon.png",71,"Pet","Fish28","https://acnhcdn.com/latest/MenuIcon/Fish28.png","F32","Fluorescent",NA,"king salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All day",1800,NA,NA,NA,NA,NA,NA,NA,"All day",NA,NA,NA,NA,"X-Large","2x1","5","Yes",20,"Medium","Any weather","River (mouth)"
"Hard","I caught a mitten crab! One more and I'm ready for winter!","Black","Blue","Fish","FishSyanhaigani","https://acnhcdn.com/latest/BookFishIcon/FishSyanhaiganiCropped.png","The mitten crab was named for its impossibly adorable and fuzzy little pincers. These cute crustaceans embark on quite the journey. They're first born in brackish waters. Then they mature in freshwater. Finally, they travel to the ocean to create more mitten crabs!Hoo! How I delight in the thought of thousands of tiny mittened crabs scuttling about!","FtrFishShanghai","https://acnhcdn.com/latest/FtrIcon/FtrFishShanghai.png",71,"Pet","Fish66","https://acnhcdn.com/latest/MenuIcon/Fish66.png","F33","No lighting",NA,"mitten crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",2000,"4 PM – 9 AM",NA,NA,NA,NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,NA,NA,"Small","1x1","3–5","No",20,"Narrow","Any weather","River"
"Easy","I caught a guppy! Welcome to the team, newbie!","Blue","Black","Fish","FishGuppi","https://acnhcdn.com/latest/BookFishIcon/FishGuppiCropped.png","Oh my! Would you look at that! Such a beautiful, snazzy little fellow that guppy is! The shape and coloration of guppy fins are all unique. Quite eye-catching, I must say. Do you imagine they host contests for ""most snazzy""? And...do you suppose I might receive an invite?","FtrFishGuppi","https://acnhcdn.com/latest/FtrIcon/FtrFishGuppi.png",71,"Pet","Fish29","https://acnhcdn.com/latest/MenuIcon/Fish29.png","F34","Fluorescent",NA,"guppy","9 AM – 4 PM","9 AM – 4 PM",NA,NA,NA,"9 AM – 4 PM","9 AM – 4 PM",NA,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",1300,"9 AM – 4 PM",NA,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",NA,NA,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",NA,"X-Small","1x1","2–3","No",0,"Medium","Any weather","River"
"Medium","I caught a nibble fish! Come to think of it, I could use a bite!","Brown","Blue","Fish","FishDokutaafish","https://acnhcdn.com/latest/BookFishIcon/FishDokutaafishCropped.png","Nibble fish are best known for their use in a certain skin treatment. This treatment has apparently been used for thousands of years. I have never experienced said treatment because they eat your dead skin with their little toothless mouths! Can you imagine anything so repellent?! Please don't ask me any follow-up questions. Hoo.","FtrFishDoctor","https://acnhcdn.com/latest/FtrIcon/FtrFishDoctor.png",71,"Pet","Fish67","https://acnhcdn.com/latest/MenuIcon/Fish67.png","F35","No lighting",NA,"nibble fish",NA,"9 AM – 4 PM",NA,NA,NA,"9 AM – 4 PM","9 AM – 4 PM",NA,"9 AM – 4 PM",NA,NA,"9 AM – 4 PM",1500,NA,NA,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",NA,NA,"9 AM – 4 PM",NA,"9 AM – 4 PM",NA,NA,"X-Small","1x1","2","No",20,"Narrow","Any weather","River"
